省份,年份,学校名称,最低录取分,录取批次,招生类型,最低录取名次,专业组,选课要求,平均分,录取专业名称
浙江,2017,武汉大学,659,平行录取一段,普通类,2871,,,665,新闻传播学类
浙江,2017,武汉大学,658,平行录取一段,普通类,2920,,,660,法学
浙江,2017,武汉大学,652,平行录取一段,普通类,4307,,,652,工商管理类
浙江,2017,武汉大学,657,平行录取一段,普通类,3194,,,657,临床医学
浙江,2017,武汉大学,654,平行录取一段,普通类,3784,,,655,口腔医学
浙江,2017,武汉大学,653,平行录取一段,普通类,4033,,,654,经济学类
浙江,2017,武汉大学,655,平行录取一段,普通类,3598,,,655,金融学类（数理经济与数理金融试验班）
浙江,2017,武汉大学,654,平行录取一段,普通类,3689,,,656,临床医学
浙江,2017,武汉大学,652,平行录取一段,普通类,4200,,,653,理科试验班
浙江,2017,武汉大学,651,平行录取一段,普通类,4345,,,653,数学类
浙江,2018,武汉大学,663,平行录取一段,普通类,2997,,,664,临床医学（“5+3”一体化）
浙江,2018,武汉大学,661,平行录取一段,普通类,3532,,,662,口腔医学（五年制）
浙江,2018,武汉大学,659,平行录取一段,普通类,4041,,,660,工科试验班（弘毅学堂）
浙江,2018,武汉大学,667,平行录取一段,普通类,2314,,,667,临床医学（八年制）
浙江,2018,武汉大学,659,平行录取一段,普通类,3871,,,661,理科试验班（弘毅学堂）
浙江,2018,武汉大学,664,平行录取一段,普通类,2739,,,667,法学
浙江,2018,武汉大学,664,平行录取一段,普通类,2879,,,664,口腔医学（“5+3”一体化）
浙江,2018,武汉大学,662,平行录取一段,普通类,3178,,,664,金融学类（弘毅学堂数理经济与数理金融试验班）
浙江,2018,武汉大学,659,平行录取一段,普通类,4048,,,660,经济学类
浙江,2018,武汉大学,662,平行录取一段,普通类,3294,,,663,新闻传播学类
浙江,2019,武汉大学,672,平行录取一段,普通类,2781,,,-,临床医学（5+3一体化）
浙江,2019,武汉大学,667,平行录取一段,普通类,4040,,,-,人文科学试验班（弘毅学堂）
